,attrition,business_travel,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,job_involvement,job_level,job_role,marital_status,num_companies_worked,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager,age,job_satisfaction,monthly_income
755,no,travel_rarely,sales,11,2,life sciences,1045,4,female,3,4, manager ,married,3,no,13,3,2,1,26,4,4,9,3,1,1.0,45,4,17650.0
756,no,non-travel,research & development,29,4,medical,1046,4,female,3,1, laboratory technician ,single,9,no,12,3,2,0,10,2,3,8,7,7,7.0,32,3,4025.0
757,no,travel_rarely,sales,1,4,marketing,1047,2,male,4,2, sales executive ,divorced,0,no,11,3,4,1,16,2,2,15,1,0,9.0,34,4,9725.0
758,no,travel_rarely,sales,1,2,technical degree,1048,2,male,3,3, manager ,married,3,yes,14,3,3,1,14,1,1,6,4,0,4.0,59,4,11904.0
759,no,travel_rarely,human resources,24,4,medical,1049,2,male,3,1, human resources ,single,1,no,16,3,1,0,6,3,3,6,3,0,4.0,45,2,2177.0
760,no,non-travel,sales,2,3,marketing,1050,3,female,2,3, sales executive ,married,2,no,12,3,1,1,30,2,3,15,7,6,12.0,53,2,7525.0
761,yes,travel_rarely,research & development,15,3,other,1052,1,male,3,2, laboratory technician ,divorced,7,no,14,3,2,1,9,3,2,1,0,0,0.0,36,3,4834.0
762,yes,travel_frequently,research & development,2,3,life sciences,1053,1,male,3,1, research scientist ,married,6,yes,14,3,2,1,6,2,3,3,2,1,2.0,26,1,2042.0
763,no,travel_rarely,sales,10,4,life sciences,1055,3,female,3,1, sales representative ,married,1,yes,19,3,4,1,1,0,3,1,1,0,0.0,34,3,2220.0
764,no,travel_rarely,sales,10,1,medical,1056,4,male,3,1, sales representative ,married,1,no,22,4,2,0,1,5,3,1,0,0,0.0,28,2,1052.0
765,no,travel_frequently,research & development,3,4,other,1060,3,male,3,1, research scientist ,married,3,no,16,3,1,1,8,2,3,2,2,2,2.0,38,3,2821.0
766,no,travel_rarely,research & development,2,4,medical,1061,2,male,3,5, research director ,unknown,2,yes,11,3,4,1,29,2,2,8,1,7,3.0,50,3,19237.0
767,no,travel_rarely,research & development,3,3,other,1062,4,female,3,2, healthcare representative ,single,3,no,15,3,1,0,8,3,2,4,3,0,1.0,37,2,4107.0
768,no,travel_rarely,sales,26,3,marketing,1066,3,male,3,2, sales executive ,married,1,no,14,3,2,1,8,3,2,7,7,7,5.0,40,1,8396.0
769,no,travel_frequently,research & development,1,1,medical,1068,1,female,2,1, research scientist ,divorced,1,no,13,3,3,2,5,5,3,5,3,1,3.0,26,3,2007.0
770,no,travel_rarely,research & development,1,4,medical,1069,4,male,3,5, research director ,divorced,9,no,17,3,4,2,23,0,3,2,2,2,2.0,46,4,19627.0
771,no,travel_rarely,sales,2,4,life sciences,1070,3,female,2,3, sales executive ,married,6,no,11,3,2,1,13,4,3,9,4,7,0.0,54,3,10686.0
772,no,travel_frequently,research & development,9,3,medical,1071,1,female,3,1, research scientist ,married,2,no,19,3,2,1,18,4,3,5,4,0,3.0,56,3,2942.0
773,no,travel_rarely,research & development,12,5,medical,1073,4,female,2,3, manufacturing director ,single,0,no,11,3,2,0,15,2,2,14,8,7,8.0,36,4,8858.0
774,no,non-travel,research & development,2,1,medical,1074,3,male,2,4, manager ,single,7,no,15,3,2,0,31,3,4,9,7,6,2.0,55,1,16756.0
775,no,travel_rarely,sales,25,3,medical,1076,3,male,2,3, sales executive ,divorced,5,no,13,3,3,1,18,5,3,1,0,0,0.0,43,4,10798.0
776,yes,travel_frequently,sales,9,3,marketing,1077,4,female,3,1, sales representative ,single,1,yes,14,3,2,0,2,3,3,2,2,0,3.0,20,4,2323.0
777,yes,travel_rarely,research & development,10,3,other,1079,3,female,2,1, laboratory technician ,single,1,no,13,3,1,0,1,6,2,1,0,1,0.0,32,1,1416.0
778,no,travel_rarely,research & development,8,4,life sciences,1080,4,female,2,2, research scientist ,divorced,8,yes,23,4,1,3,19,2,3,16,13,1,7.0,46,1,4615.0
779,yes,travel_rarely,research & development,4,4,life sciences,1081,1,male,3,1, research scientist ,married,9,yes,12,3,3,3,18,2,4,10,0,2,7.0,51,3,2461.0
780,yes,non-travel,research & development,24,2,technical degree,1082,2,male,2,3, healthcare representative ,single,1,no,12,3,1,0,10,2,2,10,7,1,9.0,28,1,8722.0
781,no,travel_rarely,research & development,1,2,medical,1083,1,male,2,1, laboratory technician ,married,1,no,16,3,1,2,6,2,3,5,3,1,3.0,26,1,3955.0
782,no,travel_rarely,research & development,20,3,other,1084,3,male,3,2, manufacturing director ,married,0,no,15,3,3,1,7,0,2,6,2,0,2.0,30,1,9957.0
783,no,travel_rarely,research & development,7,2,technical degree,1085,2,female,4,1, research scientist ,married,1,no,13,3,3,0,10,3,3,10,6,0,8.0,41,3,3376.0
784,no,travel_rarely,research & development,17,1,life sciences,1088,3,female,2,3, healthcare representative ,married,0,no,18,3,1,1,20,4,2,19,9,1,9.0,38,3,8823.0
785,no,non-travel,research & development,20,4,technical degree,1092,1,male,3,3, healthcare representative ,married,4,no,20,4,4,1,14,6,3,11,10,11,1.0,40,4,10322.0
786,no,non-travel,research & development,8,5,life sciences,1094,1,male,1,1, laboratory technician ,married,1,no,19,3,4,3,3,4,3,3,2,1,2.0,27,3,4621.0
787,no,travel_frequently,research & development,2,1,life sciences,1096,4,male,3,3, manufacturing director ,married,3,no,18,3,2,1,23,4,3,3,2,1,2.0,55,2,10976.0
788,no,travel_rarely,research & development,10,3,other,1097,3,female,3,2, research scientist ,single,3,no,13,3,4,0,10,4,4,8,7,1,7.0,28,3,3660.0
789,yes,travel_rarely,human resources,1,2,medical,1098,2,male,2,3, human resources ,married,9,no,14,3,4,1,24,1,3,20,6,3,3.0,44,1,10816.6
790,no,travel_rarely,research & development,5,3,life sciences,1099,4,male,2,3, healthcare representative ,divorced,4,no,15,3,3,1,9,2,3,3,2,1,2.0,33,4,7119.0
791,yes,travel_rarely,sales,4,3,technical degree,1100,4,male,3,3, sales executive ,single,0,yes,22,4,1,0,9,2,3,8,7,4,7.0,35,1,9582.0
792,yes,travel_frequently,research & development,29,4,medical,1101,1,female,2,2, research scientist ,single,1,no,22,4,2,0,14,4,3,13,7,3,8.0,33,3,4508.0
793,no,travel_rarely,research & development,15,2,life sciences,1102,1,male,3,1, laboratory technician ,divorced,1,no,16,3,4,1,4,5,2,4,2,2,2.0,37,3,2207.0
794,no,travel_frequently,research & development,3,1,life sciences,1103,1,male,3,2, healthcare representative ,single,0,no,17,3,3,0,7,1,2,6,2,0,4.0,38,4,7756.0
795,no,travel_rarely,sales,10,4,other,1105,4,female,2,2, sales executive ,divorced,2,yes,14,3,3,3,8,5,3,1,0,0,0.0,37,4,6694.0
796,yes,travel_rarely,research & development,4,1,technical degree,1106,4,male,3,1, laboratory technician ,married,1,yes,15,3,2,1,7,3,4,7,7,5,6.0,25,4,3691.0
797,yes,travel_rarely,research & development,21,3,medical,1107,1,male,3,1, laboratory technician ,divorced,1,no,20,4,3,1,1,0,2,1,1,0,0.0,26,3,2377.0
798,yes,travel_rarely,research & development,25,3,medical,1108,1,male,2,1, research scientist ,single,4,yes,20,4,2,0,5,0,3,2,2,2,2.0,33,2,2313.0
799,no,travel_rarely,research & development,2,2,medical,1109,4,male,3,4, manager ,married,0,no,17,3,4,1,23,3,3,22,6,13,7.0,42,1,17665.0
800,yes,travel_frequently,research & development,1,3,medical,1111,1,male,2,1, laboratory technician ,divorced,1,no,15,3,1,2,1,2,3,1,0,0,0.0,28,2,2596.0
801,yes,travel_frequently,sales,1,4,other,1113,4,male,3,2, sales executive ,single,3,yes,14,3,4,0,5,4,3,0,0,0,0.0,50,3,4728.0
802,no,travel_frequently,sales,7,3,other,1114,4,female,3,2, sales executive ,married,0,no,17,3,3,1,4,3,3,3,2,0,2.0,33,2,4302.0
803,no,non-travel,research & development,3,4,life sciences,1115,3,male,2,1, research scientist ,married,3,no,17,3,4,3,6,2,3,0,0,0,0.0,34,4,2995.8
804,no,non-travel,research & development,1,4,medical,1116,1,male,4,4, manager ,single,2,no,22,4,3,0,27,3,2,5,4,2,1.0,48,4,16885.0
805,no,non-travel,sales,9,4,life sciences,1117,2,female,2,2, sales executive ,married,1,no,13,3,4,1,15,2,3,15,10,4,12.0,45,3,5593.0
806,no,travel_rarely,research & development,7,4,life sciences,1118,2,male,3,3, healthcare representative ,single,7,no,19,3,4,0,18,0,3,8,6,4,0.0,52,2,10445.0
807,no,travel_rarely,sales,10,4,marketing,1119,3,male,2,3, sales executive ,divorced,0,yes,14,3,2,2,9,2,3,8,7,2,7.0,38,3,8740.0
808,no,travel_rarely,research & development,28,4,life sciences,1120,3,female,3,1, research scientist ,divorced,4,no,22,4,1,1,11,1,3,7,5,1,7.0,29,4,2514.0
809,no,travel_rarely,research & development,3,3,medical,1121,4,female,3,3, manufacturing director ,divorced,0,no,17,3,2,3,10,3,2,9,7,1,3.0,28,2,7655.0
810,no,travel_rarely,sales,3,1,marketing,1124,1,male,3,4, manager ,married,3,no,12,3,4,1,23,3,3,12,9,4,9.0,46,3,17465.0
811,no,travel_rarely,sales,2,2,marketing,1125,4,male,3,3, sales executive ,unknown,7,no,16,3,3,0,10,2,3,1,0,0,0.0,38,2,7351.0
812,no,travel_frequently,research & development,27,3,life sciences,1126,3,female,3,3, manufacturing director ,married,8,no,11,3,3,1,18,0,3,8,7,0,1.0,43,1,10820.0
813,yes,travel_frequently,research & development,2,3,life sciences,1127,1,male,3,4, healthcare representative ,divorced,7,no,11,3,4,3,21,4,3,18,7,11,5.0,39,4,12169.0
814,no,travel_rarely,research & development,14,3,medical,1128,3,male,2,5, research director ,single,1,no,14,3,1,0,21,2,4,20,7,4,9.0,40,3,19626.0
815,no,travel_rarely,research & development,1,1,technical degree,1131,4,female,2,1, research scientist ,single,1,yes,11,3,3,0,2,6,4,2,2,2,2.0,21,2,2070.0
816,no,non-travel,research & development,9,3,life sciences,1132,3,male,3,2, laboratory technician ,single,9,no,15,3,3,0,9,2,2,5,4,0,3.0,39,2,6782.0
817,no,non-travel,research & development,18,4,life sciences,1133,1,male,3,2, manufacturing director ,unknown,2,no,20,4,1,0,18,0,3,11,9,0,3.0,36,4,7779.0
818,no,travel_frequently,sales,20,3,life sciences,1135,3,male,4,1, sales representative ,married,0,no,12,3,1,1,3,4,3,2,2,2,2.0,31,4,2791.0
819,no,travel_rarely,research & development,2,1,life sciences,1136,1,male,2,1, research scientist ,unknown,0,no,17,3,1,0,6,2,1,5,3,0,4.0,28,2,3201.0
820,no,travel_frequently,sales,11,2,marketing,1137,4,male,3,2, sales executive ,divorced,1,no,11,3,4,1,5,3,3,5,2,0,2.0,35,4,4968.0
821,no,travel_rarely,sales,8,4,technical degree,1138,4,male,2,4, sales executive ,married,6,no,17,3,2,1,22,3,3,9,8,2,3.0,49,2,13120.0
822,no,travel_frequently,research & development,2,2,life sciences,1140,4,male,3,2, manufacturing director ,single,2,no,11,3,4,0,5,3,2,3,2,0,2.0,34,3,4033.0
823,no,travel_frequently,research & development,10,3,life sciences,1143,4,female,3,1, research scientist ,unknown,0,no,14,3,4,2,8,2,2,7,5,1,1.0,29,2,3291.0
824,no,travel_rarely,research & development,29,3,medical,1148,2,male,1,2, laboratory technician ,single,4,no,19,3,1,0,16,3,3,1,0,0,0.0,42,4,4272.0
825,no,travel_rarely,research & development,8,1,medical,1150,2,male,2,2, manufacturing director ,married,1,yes,15,3,3,1,10,2,2,10,7,1,2.0,29,4,5056.0
826,no,travel_rarely,human resources,1,3,human resources,1152,3,male,4,1, human resources ,married,1,no,13,3,4,1,7,2,4,7,6,5,0.0,38,3,2844.0
827,no,travel_frequently,research & development,6,3,life sciences,1154,3,male,2,1, research scientist ,divorced,1,yes,14,3,4,1,3,2,3,3,1,0,2.0,28,3,2703.0
828,yes,non-travel,research & development,8,1,medical,1156,3,male,3,1, laboratory technician ,single,1,no,12,3,4,0,0,0,3,0,0,0,0.0,18,3,1904.0
829,yes,travel_rarely,sales,9,4,marketing,1157,1,female,3,2, sales executive ,single,0,yes,17,3,1,0,6,3,3,5,2,0,3.0,33,1,8224.0
830,no,travel_rarely,research & development,12,4,life sciences,1158,2,male,3,1, laboratory technician ,married,3,no,11,3,1,1,6,4,3,1,0,0,0.0,41,4,4766.0
831,yes,non-travel,research & development,15,3,medical,1160,3,male,3,1, laboratory technician ,married,1,no,12,3,3,1,2,5,2,2,2,2,2.0,31,3,2610.0
832,no,travel_rarely,research & development,25,2,medical,1161,3,female,2,2, healthcare representative ,divorced,7,no,13,3,3,2,9,2,3,6,2,1,3.0,37,4,5731.0
833,no,travel_rarely,research & development,6,3,life sciences,1162,4,male,2,1, research scientist ,married,1,no,13,3,3,1,4,0,3,4,2,2,2.0,27,3,2539.0
834,no,travel_rarely,sales,9,1,life sciences,1163,2,female,3,2, sales executive ,unknown,1,no,20,4,1,0,6,3,2,6,5,1,3.0,34,2,5714.0
835,no,travel_rarely,human resources,8,4,technical degree,1164,3,male,3,1, human resources ,single,1,no,17,3,2,0,6,2,1,5,4,1,4.0,35,3,4323.0
836,yes,travel_rarely,sales,23,1,life sciences,1165,4,female,2,3, sales executive ,married,1,no,13,3,1,1,11,3,1,11,8,3,10.0,29,1,7336.0
837,no,travel_frequently,research & development,9,4,medical,1166,2,female,3,3, research director ,single,9,no,17,3,3,0,20,3,2,18,7,2,13.0,40,3,13499.0
838,yes,travel_frequently,sales,12,3,life sciences,1167,3,male,3,4, sales executive ,single,0,yes,12,3,2,0,22,2,2,21,9,13,14.0,42,1,13758.0
839,no,travel_rarely,sales,4,4,marketing,1171,2,male,3,2, sales executive ,single,7,no,13,3,4,0,9,3,4,6,4,1,3.0,42,1,5155.0
840,no,travel_rarely,research & development,1,4,medical,1172,4,male,2,1, laboratory technician ,married,6,no,12,3,2,1,10,2,3,8,0,1,7.0,35,3,2258.0
841,no,travel_rarely,research & development,24,3,medical,1173,4,male,3,1, laboratory technician ,single,8,no,22,4,4,0,6,2,3,4,3,1,2.0,24,2,3597.0
842,yes,travel_rarely,research & development,12,1,life sciences,1175,3,female,3,1, laboratory technician ,unknown,1,yes,11,3,4,0,1,4,2,1,1,0,3.0,28,4,2515.0
843,no,travel_rarely,research & development,3,4,medical,1177,1,male,4,1, laboratory technician ,unknown,1,no,22,4,2,1,8,2,3,8,7,0,7.0,26,4,4420.0
844,no,travel_rarely,sales,10,3,marketing,1179,3,male,2,2, sales executive ,married,1,no,18,3,1,1,10,3,3,10,3,1,4.0,30,3,6578.0
845,no,travel_frequently,research & development,26,2,medical,1180,3,female,2,2, research scientist ,married,3,yes,13,3,4,1,16,3,1,1,1,0,0.0,40,4,4422.0
846,no,non-travel,research & development,2,3,life sciences,1182,3,male,2,3, manufacturing director ,divorced,2,no,18,3,2,1,15,2,4,7,7,6,3.0,35,2,10274.0
847,no,travel_frequently,research & development,1,3,medical,1184,4,male,2,2, healthcare representative ,single,0,no,20,4,3,0,14,3,3,13,9,4,9.0,34,1,5343.0
848,no,travel_frequently,research & development,4,4,other,1185,4,male,2,1, laboratory technician ,married,1,no,13,3,2,1,2,2,4,2,2,2,2.0,35,4,2376.0
849,yes,travel_rarely,sales,9,3,marketing,1188,1,female,1,2, sales executive ,single,8,no,13,3,2,0,7,2,2,4,3,1,3.0,43,3,5346.0
850,no,non-travel,sales,2,1,life sciences,1190,3,female,3,1, sales representative ,divorced,1,no,12,3,3,3,1,3,3,1,0,0,0.0,32,1,2827.0
851,no,travel_rarely,research & development,4,4,technical degree,1191,4,female,3,5, manager ,divorced,4,no,13,3,4,1,28,2,3,5,2,4,2.0,56,1,19943.0
852,no,travel_rarely,research & development,6,1,medical,1192,2,female,3,1, laboratory technician ,married,1,no,13,3,1,1,10,5,3,10,8,0,8.0,29,4,3131.0
853,no,travel_rarely,research & development,9,2,life sciences,1193,3,male,3,1, research scientist ,single,1,no,25,4,3,0,1,4,3,1,1,0,0.0,19,1,2552.0
854,no,travel_rarely,research & development,7,3,other,1195,1,female,3,1, research scientist ,married,4,no,19,3,3,1,7,0,2,3,2,0,2.0,45,3,4477.0
855,no,travel_rarely,research & development,1,3,life sciences,1196,4,female,2,2, manufacturing director ,married,1,no,13,3,2,1,14,2,2,14,8,3,11.0,37,4,6474.0
856,no,travel_rarely,research & development,3,3,life sciences,1198,1,male,2,1, laboratory technician ,single,1,no,12,3,1,0,2,2,2,2,2,1,2.0,20,3,3033.0
857,yes,travel_rarely,research & development,10,4,life sciences,1200,3,male,3,1, research scientist ,single,1,yes,11,3,3,0,6,4,3,6,4,0,3.0,44,3,2936.0
858,no,travel_rarely,research & development,7,2,medical,1201,4,female,3,5, manager ,divorced,3,no,18,3,2,1,26,6,3,7,7,4,7.0,53,3,18606.0
859,no,travel_rarely,research & development,15,1,life sciences,1202,2,female,1,1, research scientist ,married,0,yes,18,3,1,1,6,2,2,5,4,1,3.0,29,4,2168.0
860,yes,travel_frequently,research & development,3,4,life sciences,1203,3,male,2,1, research scientist ,married,0,yes,11,3,2,1,1,5,3,0,0,0,0.0,22,4,2853.0
861,no,travel_rarely,sales,2,3,other,1204,3,female,3,4, manager ,unknown,8,no,23,4,1,0,28,2,3,26,15,15,3.0,46,1,17048.0
862,no,non-travel,research & development,17,3,life sciences,1206,4,male,1,1, research scientist ,single,2,no,13,3,4,0,6,3,3,0,0,0,0.0,44,3,2290.0
863,no,travel_rarely,human resources,2,3,human resources,1207,2,male,3,1, human resources ,married,1,no,13,3,4,1,5,2,3,5,4,1,4.0,33,3,3600.0
864,yes,non-travel,research & development,5,2,life sciences,1210,1,male,2,1, research scientist ,divorced,6,no,17,3,1,1,5,2,1,1,0,0,0.0,41,1,2107.0
865,no,travel_rarely,sales,29,4,life sciences,1211,3,male,3,2, sales executive ,divorced,8,no,19,3,3,3,8,3,3,4,3,0,3.0,30,1,4115.0
866,no,travel_frequently,sales,2,4,medical,1212,2,male,3,2, sales executive ,married,5,no,12,3,4,3,5,2,3,0,0,0,0.0,40,2,4327.0
867,no,travel_frequently,research & development,2,3,medical,1215,4,female,3,4, manager ,married,2,no,22,4,3,1,32,3,3,2,2,2,2.0,50,1,17856.0
868,no,travel_rarely,research & development,19,4,medical,1216,4,male,2,1, laboratory technician ,married,1,no,12,3,3,3,6,0,3,6,5,3,3.0,28,1,3196.0
869,no,travel_rarely,research & development,15,2,life sciences,1217,4,male,3,5, research director ,married,5,no,11,3,1,1,25,2,3,4,2,0,3.0,46,2,19081.0
870,no,travel_rarely,sales,17,4,life sciences,1218,3,male,3,2, sales executive ,unknown,3,yes,15,3,4,3,15,2,3,7,7,1,7.0,35,1,8966.0
871,yes,travel_rarely,research & development,17,2,life sciences,1219,4,female,3,1, laboratory technician ,married,1,no,13,3,1,1,1,3,1,1,0,0,0.0,24,2,2210.0
872,no,travel_frequently,sales,25,3,medical,1220,2,female,3,2, sales executive ,married,1,no,12,3,1,1,10,0,2,10,7,0,1.0,33,3,4539.0
873,no,travel_rarely,unknown,6,4,life sciences,1221,3,male,1,1, laboratory technician ,divorced,1,no,14,3,3,1,7,4,3,7,7,1,7.0,36,3,2741.0
874,no,travel_rarely,research & development,7,4,life sciences,1224,3,male,3,2, laboratory technician ,unknown,1,no,13,3,1,3,10,4,2,10,7,8,9.0,30,3,3491.0
875,no,travel_rarely,research & development,29,4,other,1225,4,male,3,2, research scientist ,single,1,no,25,4,2,0,20,3,3,20,11,13,17.0,44,4,4541.0
876,no,travel_rarely,sales,21,3,marketing,1226,3,male,4,1, sales representative ,single,1,no,17,3,4,0,2,2,3,2,1,2,2.0,20,4,2678.0
877,no,travel_rarely,research & development,2,4,technical degree,1228,4,male,3,2, manufacturing director ,divorced,2,no,11,3,3,1,12,3,2,6,3,1,4.0,46,4,7379.0
878,no,non-travel,human resources,2,5,medical,1231,4,male,4,2, human resources ,married,7,no,16,3,1,1,10,3,4,4,3,0,3.0,42,1,6272.0
879,no,travel_rarely,sales,7,4,marketing,1233,2,male,4,2, sales executive ,unknown,0,yes,18,3,2,1,12,3,3,11,7,1,9.0,60,4,5220.0
880,no,travel_frequently,research & development,13,3,other,1234,3,female,2,1, laboratory technician ,married,1,no,20,4,3,1,2,2,3,2,2,2,2.0,32,2,2743.0
881,no,travel_frequently,research & development,2,2,life sciences,1235,4,female,3,2, research scientist ,single,4,yes,14,3,4,0,10,2,3,8,7,0,7.0,32,3,4998.0
882,no,non-travel,research & development,1,3,technical degree,1237,3,female,1,3, manufacturing director ,unknown,2,yes,21,4,3,1,17,2,3,7,7,7,7.0,36,1,10252.0
883,no,travel_rarely,research & development,9,3,medical,1238,1,male,3,1, research scientist ,married,0,no,13,3,2,1,15,5,3,14,10,4,10.0,33,4,2781.0
884,no,travel_rarely,sales,10,3,technical degree,1239,2,female,2,2, sales executive ,divorced,7,no,12,3,2,1,7,2,4,5,1,1,3.0,40,2,6852.0
885,no,travel_rarely,sales,10,4,life sciences,1240,3,male,3,2, sales executive ,single,0,no,14,3,2,0,5,4,3,4,3,1,1.0,25,4,4950.0
886,no,travel_rarely,research & development,1,3,medical,1241,4,male,3,1, research scientist ,married,0,yes,21,4,1,1,12,2,3,11,9,5,7.0,30,2,3579.0
887,no,travel_frequently,research & development,26,5,medical,1242,1,female,3,3, research director ,married,3,yes,17,3,3,0,20,6,3,1,0,0,0.0,42,1,13191.0
888,no,non-travel,sales,8,2,marketing,1243,3,female,2,3, sales executive ,married,4,yes,11,3,2,1,16,6,2,13,2,4,12.0,35,4,10377.0
889,no,travel_rarely,research & development,14,3,other,1244,1,male,3,1, research scientist ,married,1,yes,14,3,4,2,9,3,2,9,7,6,8.0,27,1,2235.0
890,no,travel_frequently,research & development,1,4,life sciences,1245,4,female,3,3, manufacturing director ,divorced,7,no,17,3,1,1,33,2,1,5,4,1,4.0,54,3,10502.0
891,no,travel_rarely,research & development,2,1,life sciences,1246,1,female,4,1, research scientist ,married,1,no,13,3,4,1,10,5,3,10,5,7,3.0,44,4,2011.0
892,yes,non-travel,research & development,10,3,medical,1248,1,female,2,1, research scientist ,single,1,yes,25,4,2,0,1,2,4,1,1,0,0.0,19,2,1859.0
893,no,travel_rarely,research & development,1,3,life sciences,1249,1,female,3,1, research scientist ,unknown,1,no,15,3,1,3,3,5,3,3,2,1,2.0,29,4,3760.0
894,no,travel_rarely,research & development,3,3,life sciences,1250,4,male,3,4, research director ,married,3,no,14,3,1,0,36,2,3,10,9,0,9.0,54,4,17779.0
895,no,travel_rarely,research & development,11,2,medical,1251,3,male,3,2, healthcare representative ,married,1,yes,12,3,4,0,6,2,2,6,5,0,1.0,31,1,6833.0
896,no,travel_rarely,research & development,24,3,medical,1252,3,female,2,2, healthcare representative ,single,1,no,19,3,2,0,10,2,3,10,9,1,3.0,31,1,6812.0
897,no,travel_rarely,sales,3,3,life sciences,1254,3,female,2,2, sales executive ,single,5,no,17,3,4,0,13,2,3,6,1,0,5.0,59,4,5171.0
898,no,travel_rarely,research & development,3,3,life sciences,1255,3,male,1,5, research director ,married,3,no,14,3,2,1,25,2,3,8,7,0,7.0,43,4,19740.0
899,no,travel_rarely,research & development,4,2,medical,1256,1,male,2,5, manager ,married,2,no,13,3,3,1,23,2,4,1,0,0,3.0,49,3,18711.0
900,no,travel_frequently,research & development,3,3,technical degree,1257,3,male,3,1, research scientist ,married,1,no,12,3,3,0,12,2,2,11,10,0,7.0,36,2,3692.0
901,no,travel_rarely,research & development,2,2,technical degree,1258,4,male,4,1, laboratory technician ,single,5,no,11,3,3,0,7,4,2,1,0,0,0.0,48,2,2559.0
902,no,non-travel,research & development,4,2,life sciences,1259,1,male,3,1, research scientist ,unknown,1,no,11,3,2,3,5,0,3,5,3,0,3.0,27,3,2517.0
903,no,travel_rarely,research & development,7,3,life sciences,1260,3,male,3,2, healthcare representative ,divorced,1,yes,11,3,2,2,6,2,3,6,0,1,0.0,29,4,6623.0
904,no,travel_rarely,research & development,1,3,life sciences,1263,4,male,2,5, research director ,single,6,no,12,3,3,0,25,3,4,1,0,0,3.0,48,4,18265.0
905,no,travel_rarely,research & development,1,3,life sciences,1264,4,female,2,4, research director ,divorced,3,no,14,3,2,2,9,2,2,7,7,1,7.0,29,4,16124.0
906,no,travel_rarely,research & development,20,3,technical degree,1265,3,female,4,1, research scientist ,married,0,no,17,3,4,0,2,5,2,1,0,0,0.0,34,3,2585.0
907,no,travel_rarely,sales,5,3,marketing,1267,2,male,3,5, manager ,married,7,no,11,3,3,1,26,5,3,22,9,3,3.0,40,2,18213.0
908,no,non-travel,sales,10,5,marketing,1268,4,male,4,3, sales executive ,divorced,0,yes,14,3,4,2,10,3,3,9,8,0,8.0,33,3,8380.0
909,no,travel_rarely,research & development,25,3,other,1269,2,female,4,1, research scientist ,single,1,yes,12,3,4,0,1,2,3,1,0,0,1.0,19,4,2994.0
910,no,non-travel,research & development,1,2,life sciences,1270,4,male,3,1, research scientist ,married,1,no,22,4,4,1,1,2,3,1,0,0,1.0,23,3,1223.0
911,yes,travel_frequently,sales,24,1,life sciences,1273,3,male,1,1, sales representative ,single,1,yes,14,3,4,0,1,4,3,1,0,1,0.0,25,4,1118.0
912,no,travel_rarely,research & development,4,2,life sciences,1275,3,male,3,1, research scientist ,single,1,yes,20,4,2,0,8,2,2,8,5,2,2.0,26,4,2875.0
913,yes,non-travel,sales,2,3,marketing,1277,1,female,1,5, manager ,single,2,yes,16,3,1,0,26,2,3,24,10,1,11.0,45,2,18824.0
914,no,non-travel,research & development,8,1,medical,1278,4,male,2,4, healthcare representative ,divorced,1,yes,15,3,4,1,34,3,3,33,9,15,0.0,55,2,13577.0
915,yes,travel_frequently,research & development,10,2,life sciences,1279,1,female,2,1, laboratory technician ,single,1,no,20,4,3,0,2,2,1,2,2,2,2.0,21,3,2625.0
916,no,travel_rarely,sales,4,2,marketing,1280,4,female,2,5, manager ,married,2,no,14,3,3,1,26,2,3,11,4,0,8.0,38,2,18789.0
917,no,travel_rarely,sales,2,3,marketing,1281,3,female,3,2, sales executive ,single,0,yes,12,3,4,0,4,3,3,3,2,0,2.0,34,1,4538.0
918,no,travel_frequently,sales,9,3,life sciences,1282,4,male,3,5, manager ,divorced,4,yes,24,4,1,1,31,5,2,29,10,11,10.0,51,2,19847.0
919,no,travel_rarely,research & development,18,4,medical,1283,4,male,3,3, manufacturing director ,single,6,no,12,3,4,0,25,6,2,9,7,5,4.0,59,4,10512.0
920,no,travel_frequently,research & development,19,3,medical,1285,3,female,3,2, laboratory technician ,unknown,4,no,13,3,3,2,15,2,4,11,8,5,10.0,34,2,4444.0
921,no,travel_frequently,research & development,1,4,other,1286,4,male,3,1, laboratory technician ,single,0,yes,11,3,3,0,5,2,2,4,2,0,2.0,28,3,2154.0
922,no,travel_rarely,research & development,4,2,life sciences,1288,3,male,4,5, manager ,divorced,1,no,14,3,4,2,26,4,2,25,9,14,3.0,44,1,19190.0
923,no,travel_frequently,human resources,11,3,life sciences,1289,3,male,2,2, human resources ,unknown,4,no,11,3,4,2,14,5,4,10,9,1,8.0,34,2,6103.6
924,no,travel_rarely,research & development,6,1,life sciences,1291,3,male,3,1, research scientist ,married,0,yes,14,3,4,0,4,3,3,3,2,2,2.0,35,3,3506.0
925,no,travel_rarely,research & development,7,4,medical,1292,2,female,4,2, research scientist ,married,6,yes,16,3,4,0,18,2,3,1,0,0,0.0,42,2,2372.0
926,no,travel_rarely,sales,4,4,marketing,1293,4,female,2,3, sales executive ,single,3,no,14,3,4,0,23,3,4,21,7,15,17.0,43,4,10231.0
927,no,travel_rarely,research & development,2,4,life sciences,1294,3,female,3,2, manufacturing director ,single,9,yes,11,3,4,0,18,2,3,16,14,5,12.0,36,2,5410.0
